2024-03-26 06:25:47 | INFO     | BSRNN | Running on torch 1.12.1+cu102
2024-03-26 06:25:47 | INFO     | BSRNN | Running on host 57e01f9c3fa7
2024-03-26 06:25:47 | INFO     | BSRNN | Loading model settings of base_dir
2024-03-26 06:25:47 | INFO     | BSRNN | Found checkpoint ./base_dir/checkpoints/model_bsrnn_133.ckpt.best with epoch 133
2024-03-26 06:25:47 | INFO     | BSRNN | Running on device cuda:0
2024-03-26 06:25:49 | INFO     | BSRNN | Model loaded
2024-03-26 06:25:57 | INFO     | BSRNN | Utt=1 | fname=sixteen_p232_001.wav | PESQ=3.706 | PESQi=0.779 | SISNR=17.715 | SISNRi=2.245 | CSIG=4.601 | CSIGi=0.326 |CBAK=3.547 | CBAKi=0.286 | COVL=4.103 | COVLi=0.523 | 
2024-03-26 06:25:59 | INFO     | BSRNN | Utt=2 | fname=sixteen_p232_002.wav | PESQ=3.573 | PESQi=0.512 | SISNR=15.764 | SISNRi=4.444 | CSIG=4.768 | CSIGi=0.103 |CBAK=3.772 | CBAKi=0.387 | COVL=4.181 | COVLi=0.301 | 
2024-03-26 06:26:03 | INFO     | BSRNN | Utt=3 | fname=sixteen_p232_003.wav | PESQ=3.484 | PESQi=0.670 | SISNR=10.959 | SISNRi=4.227 | CSIG=4.554 | CSIGi=0.230 |CBAK=3.362 | CBAKi=0.417 | COVL=4.000 | COVLi=0.432 | 
2024-03-26 06:26:07 | INFO     | BSRNN | Utt=4 | fname=sixteen_p232_005.wav | PESQ=1.521 | PESQi=0.192 | SISNR=13.678 | SISNRi=11.822 | CSIG=2.678 | CSIGi=0.112 |CBAK=2.648 | CBAKi=0.678 | COVL=2.084 | COVLi=0.189 | 
2024-03-26 06:26:09 | INFO     | BSRNN | Utt=5 | fname=sixteen_p232_006.wav | PESQ=2.978 | PESQi=0.775 | SISNR=17.908 | SISNRi=1.060 | CSIG=4.187 | CSIGi=0.594 |CBAK=3.604 | CBAKi=0.400 | COVL=3.587 | COVLi=0.687 | 
2024-03-26 06:26:12 | INFO     | BSRNN | Utt=6 | fname=sixteen_p232_007.wav | PESQ=2.382 | PESQi=0.828 | SISNR=15.006 | SISNRi=3.197 | CSIG=3.662 | CSIGi=0.716 |CBAK=3.136 | CBAKi=0.581 | COVL=3.015 | COVLi=0.783 | 
2024-03-26 06:26:14 | INFO     | BSRNN | Utt=7 | fname=sixteen_p232_009.wav | PESQ=2.573 | PESQi=0.770 | SISNR=12.386 | SISNRi=5.619 | CSIG=3.777 | CSIGi=0.554 |CBAK=3.067 | CBAKi=0.551 | COVL=3.167 | COVLi=0.669 | 
2024-03-26 06:26:16 | INFO     | BSRNN | Utt=8 | fname=sixteen_p232_010.wav | PESQ=1.371 | PESQi=0.151 | SISNR=7.639 | SISNRi=6.756 | CSIG=2.074 | CSIGi=0.372 |CBAK=1.960 | CBAKi=0.396 | COVL=1.662 | COVLi=0.283 | 
2024-03-26 06:26:19 | INFO     | BSRNN | Utt=9 | fname=sixteen_p232_011.wav | PESQ=3.245 | PESQi=0.514 | SISNR=18.173 | SISNRi=1.372 | CSIG=4.388 | CSIGi=0.279 |CBAK=3.738 | CBAKi=0.312 | COVL=3.827 | COVLi=0.395 | 
2024-03-26 06:26:22 | INFO     | BSRNN | Utt=10 | fname=sixteen_p232_012.wav | PESQ=2.987 | PESQi=0.952 | SISNR=16.428 | SISNRi=4.524 | CSIG=4.147 | CSIGi=0.648 |CBAK=3.592 | CBAKi=0.732 | COVL=3.587 | COVLi=0.810 | 
2024-03-26 06:26:24 | INFO     | BSRNN | Utt=11 | fname=sixteen_p232_013.wav | PESQ=2.316 | PESQi=0.902 | SISNR=12.732 | SISNRi=5.930 | CSIG=3.487 | CSIGi=0.708 |CBAK=2.942 | CBAKi=0.835 | COVL=2.879 | COVLi=0.823 | 
